,@id,measurementSpecificCharacteristics,measurementEquipmentTypeUsed.value.@lang,measurementEquipmentTypeUsed.value.#text,measurementSiteLocation.@xsi$type,measurementSiteLocation.tpeglinearLocation.tpegDirection,measurementSiteLocation.tpeglinearLocation.tpegLocationType,measurementSiteLocation.tpeglinearLocation.to.@xsi$type,toLatitude,toLongitude,toDescription,measurementSiteLocation.tpeglinearLocation.to.name.tpegDescriptorType,measurementSiteLocation.tpeglinearLocation.from.@xsi$type,fromLatitude,fromLongitude,fromDescription,measurementSiteLocation.tpeglinearLocation.from.name.tpegDescriptorType
10,GF0301_S,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.87839021402277,-4.194167303027818,Royston Rd w/b,other,TPEGNonJunctionPoint,55.87871919955157,-4.191340047273297,Royston Rd w/b,other
11,GD2701_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.89394772975637,-4.2970889096571705,Maryhill Road outbound towards Shiskine Drive,other,TPEGNonJunctionPoint,55.89515227975689,-4.298039841472587,Maryhill Road outbound towards Shiskine Drive,other
12,GD2701_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.89916542948992,-4.302596303354128,Maryhill Road inbound to Shiskine Drive,other,TPEGNonJunctionPoint,55.89918876489169,-4.302309747084052,Maryhill Road inbound to Shiskine Drive,other
13,GL265A_L,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85685847943426,-4.290217055996317,Pacific Dr eastbound,other,TPEGNonJunctionPoint,55.856827323061815,-4.289959555824773,Pacific Dr eastbound,other
14,GF0301_D,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.878817107346244,-4.191393528638299,Royston Rd e/b to Robroyston Rd,other,TPEGNonJunctionPoint,55.87810851407745,-4.190810017915082,Royston Rd e/b to Robroyston Rd,other
15,GF0301_C,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.878817107346244,-4.191393528638299,Royston Rd w/b to Robroyston Rd,other,TPEGNonJunctionPoint,55.879206944843226,-4.189688801744091,Royston Rd w/b to Robroyston Rd,other
16,GJ275A_V,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.83687762899016,-4.25724376518555,Cathcart Rd northbound to Preston St,other,TPEGNonJunctionPoint,55.83693354635203,-4.257135210420471,Cathcart Rd northbound to Preston St,other
17,GF0301_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.878817107346244,-4.191393528638299,Langdale St n/b,other,TPEGNonJunctionPoint,55.87947536584209,-4.191270748509423,Langdale St n/b,other
18,GC4151_G,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86038667864348,-4.2826901232101795,On-ramp Westbound to Clydeside Expressway,other,TPEGNonJunctionPoint,55.86069950889394,-4.283267802105605,On-ramp Westbound to Clydeside Expressway,other
19,GC4151_E,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85935619571898,-4.283492595662314,Congress Way Northbound Outside to Pointhouse Rd,other,TPEGNonJunctionPoint,55.85985056415024,-4.283489648996855,Congress Way Northbound Outside to Pointhouse Rd,other
20,GC4151_C,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85935619571898,-4.283492595662314,Congress Way Northbound Inside to Pointhouse Road,other,TPEGNonJunctionPoint,55.85986733438599,-4.283554554728458,Congress Way Northbound Inside to Pointhouse Road,other
21,GC4151_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86038667864348,-4.2826901232101795,Stobcross Road Eastbound to Pointhouse Road,other,TPEGNonJunctionPoint,55.860894822588506,-4.284365958508686,Stobcross Road Eastbound to Pointhouse Road,other
22,GH195A_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85345791330956,-4.236667530649426,London Road westbound to Kent St,other,TPEGNonJunctionPoint,55.853557522976224,-4.237120627922957,London Road westbound to Kent St,other
23,GH195A_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.854652939873155,-4.240634856680875,London Road e/b to Kent St.,other,TPEGNonJunctionPoint,55.854617352151365,-4.240121510355179,London Road e/b to Kent St.,other
24,GL2651_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85534127437887,-4.295912000825322,Govan Rd Westbound,other,TPEGNonJunctionPoint,55.85521346050558,-4.295536954188497,Govan Rd Westbound,other
25,GB0501_D,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,0,0,Glasgow Bridge SB to Clyde Place,other,TPEGNonJunctionPoint,0,0,Glasgow Bridge SB to Clyde Place,other
26,GB0501_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85476337655625,-4.25965520363947,Clyde Place to Bridge Street eastbound,other,TPEGNonJunctionPoint,55.8549006837386,-4.259519372285604,Clyde Place to Bridge Street eastbound,other
27,GA2801_G,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86530300068848,-4.256863117405453,Renfrew Street eastbound to Renfield Street offside,other,TPEGNonJunctionPoint,55.86536126095586,-4.256626759612004,Renfrew Street eastbound to Renfield Street offside,other
28,GG1101_T,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86853966661047,-4.156577825463893,Stepps Road nb from Bellrock St,other,TPEGNonJunctionPoint,55.86881911962045,-4.156529385070701,Stepps Road nb from Bellrock St,other
29,GG1101_S,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86853966661047,-4.156577825463893,M8 Off-Ramp WB,other,TPEGNonJunctionPoint,55.869034246707436,-4.155022867360321,M8 Off-Ramp WB,other
30,GG1101_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.866837896546805,-4.1552208441953615,Stepps Road s/b,other,TPEGNonJunctionPoint,55.86655956269573,-4.155205423438159,Stepps Road s/b,other
31,GA2801_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.865281629386,-4.25508782149662,Renfrew Street westbound,other,TPEGNonJunctionPoint,55.86507327370817,-4.254196711337344,Renfrew Street westbound,other
32,GA2801_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86530300068848,-4.256863117405453,Renfrew Street eastbound to Renfield Street nearside,other,TPEGNonJunctionPoint,55.86540615045904,-4.256629363666894,Renfrew Street eastbound to Renfield Street nearside,other
33,GK4951_C,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.80152058659404,-4.328085826495753,Nitshill Road Westbound to Kyleakin Rd,other,TPEGNonJunctionPoint,55.8016647512256,-4.328541221239083,Nitshill Road Westbound to Kyleakin Rd,other
34,GK4951_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.80152058659404,-4.328085826495753,Loganswell Road Northbound,other,TPEGNonJunctionPoint,55.80126196952965,-4.328453342423473,Loganswell Road Northbound,other
35,GK4951_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.80152058659404,-4.328085826495753,Nitshill Rd Westbound to Loganswell Rd,other,TPEGNonJunctionPoint,55.801386681125614,-4.3270885241399295,Nitshill Rd Westbound to Loganswell Rd,other
36,GH3301_F,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84116817560765,-4.215532724464075,Dalmarnock Road eastbound LT to Springfield Rd,other,TPEGNonJunctionPoint,55.84129415766746,-4.21552392052753,Dalmarnock Road eastbound LT to Springfield Rd,other
37,GH3301_D,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84116817560765,-4.215532724464075,Springfield Road southbound,other,TPEGNonJunctionPoint,55.841390120120394,-4.214187690112489,Springfield Road southbound,other
38,GH3301_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.840448271219856,-4.214086215304658,Dalmarnock Road westbound to Springfield Rd,other,TPEGNonJunctionPoint,55.840571955234964,-4.214205053485609,Dalmarnock Road westbound to Springfield Rd,other
39,GH3301_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84296866880256,-4.217360281901309,Dalmarnock Road s/b to Springfield Rd,other,TPEGNonJunctionPoint,55.84249771563329,-4.2170619200955155,Dalmarnock Road s/b to Springfield Rd,other
40,GC1301_V,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,0,0,Radnor Street to Sauchiehall Street,other,TPEGNonJunctionPoint,0,0,Radnor Street to Sauchiehall Street,other
41,GC1301_T,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.866792607151226,-4.2886122154594855,Sauchiehall St to Radnor St.,other,TPEGNonJunctionPoint,55.86744731675164,-4.288203198759974,Sauchiehall St to Radnor St.,other
42,GC1301_S,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.866792607151226,-4.2886122154594855,Kelvin Way,other,TPEGNonJunctionPoint,55.86659977957889,-4.287865644847315,Kelvin Way,other
43,GC1301_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.867770895760586,-4.291099290903467,Argyle Street to Sauchiehall Street,other,TPEGNonJunctionPoint,55.867603590185865,-4.290913616788351,Argyle Street to Sauchiehall Street,other
44,GH1001_L,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.8537827682205,-4.208741328572016,Gallowgate westbound Left Turn into EERR,other,TPEGNonJunctionPoint,55.85297616211061,-4.208615665888693,Gallowgate westbound Left Turn into EERR,other
45,GH1001_J,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.8537827682205,-4.208741328572016,Gallowgate westbound to roundabout,other,TPEGNonJunctionPoint,55.85342955763155,-4.209392334896589,Gallowgate westbound to roundabout,other
46,GG012A_S,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.86340122093017,-4.216127474018917,Alexandra Parade,other,TPEGNonJunctionPoint,55.86364519155325,-4.217052326028468,Alexandra Parade,other
47,GG012A_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.863337171675575,-4.213694634168933,Alexandra Parade to Armadale,other,TPEGNonJunctionPoint,55.863287109702064,-4.213979452532824,Alexandra Parade to Armadale,other
48,GH1001_F,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.8537827682205,-4.208741328572016,EERR southbound internal to Gallowgate,other,TPEGNonJunctionPoint,55.85395879914559,-4.20844774374272,EERR southbound internal to Gallowgate,other
49,GH1001_E,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.8537827682205,-4.208741328572016,Biggar St northbound from roundabout,other,TPEGNonJunctionPoint,55.85407254814759,-4.209620570161432,Biggar St northbound from roundabout,other
50,GH1001_D,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84828321696496,-4.21020252482527,EERR northbound to Gallowgate,other,TPEGNonJunctionPoint,55.84870080262547,-4.209970627469236,EERR northbound to Gallowgate,other
51,GH1001_C,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.8537827682205,-4.208741328572016,Biggar St southbound,other,TPEGNonJunctionPoint,55.853719920746975,-4.208737761770545,Biggar St southbound,other
52,GH1001_B,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85129181252292,-4.197783860320688,Gallowgate west to Holywell St,other,TPEGNonJunctionPoint,55.85295590290567,-4.20323019248114,Gallowgate west to Holywell St,other
53,GH1001_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.8537827682205,-4.208741328572016,Gallowgate eastbound from roundabout,other,TPEGNonJunctionPoint,55.85372297155631,-4.209568767493034,Gallowgate eastbound from roundabout,other
54,GK0351_V,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.836313908834434,-4.270291031106442,Pollokshaws Road inbound to Allison Street,other,TPEGNonJunctionPoint,55.836412076242205,-4.270328695468586,Pollokshaws Road inbound to Allison Street,other
55,GD120A_A,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.877285607163955,-4.3085747862544945,Clarence Drive e/b towards Hyndland Road,other,TPEGNonJunctionPoint,55.87724251706178,-4.308476302116165,Clarence Drive e/b towards Hyndland Road,other
56,GK0351_T,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.83834658561153,-4.267774245631587,Pollokshaws Road outbound to Allison Street,other,TPEGNonJunctionPoint,55.83798644490389,-4.268296297205533,Pollokshaws Road outbound to Allison Street,other
57,GK0351_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.83699328827396,-4.269516121116813,Nithsdale Street,other,TPEGNonJunctionPoint,55.837181815696056,-4.270501339796873,Nithsdale Street,other
58,GA5051_V,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85306846618108,-4.2466949406691255,Saltmarket northbound to Greendyke St,other,TPEGNonJunctionPoint,55.853428168395425,-4.246683750619731,Saltmarket northbound to Greendyke St,other
59,GA5051_U,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85434316247106,-4.245793874097538,Greendyke Street,other,TPEGNonJunctionPoint,55.853953189003654,-4.244509124668593,Greendyke Street,other
60,GB1301_X,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84801444539721,-4.2542311608821075,Cumberland Street eastbound inside lane,other,TPEGNonJunctionPoint,55.848179176367914,-4.254560209726458,Cumberland Street eastbound inside lane,other
61,GB1301_V,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84801444539721,-4.2542311608821075,Hospital Street northbound,other,TPEGNonJunctionPoint,55.84730197077243,-4.254365627919512,Hospital Street northbound,other
62,GA5051_P,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85434316247106,-4.245793874097538,Bridgegate,other,TPEGNonJunctionPoint,55.85487391441056,-4.246751236943732,Bridgegate,other
63,GH002A_S,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85555788324583,-4.237331491980359,Gallowgate East to Kent St,other,TPEGNonJunctionPoint,55.85560650193221,-4.238117230640115,Gallowgate East to Kent St,other
64,GB1301_T,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84989585166228,-4.252103459291707,Hospital Street southbound to Cumberland Street,other,TPEGNonJunctionPoint,55.849495854109286,-4.252351907449826,Hospital Street southbound to Cumberland Street,other
65,GH002A_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85555788324583,-4.237331491980359,Gallowgate West to Kent St,other,TPEGNonJunctionPoint,55.85532160836109,-4.235991707786897,Gallowgate West to Kent St,other
66,GB1301_R,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.84801444539721,-4.2542311608821075,Cumberland Street eastbound outside lane,other,TPEGNonJunctionPoint,55.84814297209656,-4.254574088234247,Cumberland Street eastbound outside lane,other
67,GA5051_H,"[{'@index': '1', 'specificMeasurementValueType': 'trafficFlow'}, {'@index': '2', 'specificMeasurementValueType': 'trafficConcentration'}]",en,SCOOT Link,Linear,unknown,segment,TPEGNonJunctionPoint,55.85593615982788,-4.244687411447339,Saltmarket south to Greendyke St,other,TPEGNonJunctionPoint,55.855894182399155,-4.24452520424949,Saltmarket south to Greendyke St,other
